plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_108_4996_35_2022_2073_本科批,108_4996,108,4996,福建,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,5,四年,5550,,首选物理，再选不限
plan_108_5026_35_2022_2073_本科批,108_5026,108,5026,福建,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,3,四年,5250,,首选物理，再选不限
plan_108_5061_35_2022_2073_本科批,108_5061,108,5061,福建,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科批,物理类,3,四年,5250,,首选物理，再选不限
plan_108_5042_35_2022_2073_本科批,108_5042,108,5042,福建,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,2,四年,5550,,首选物理，再选不限
plan_108_5052_35_2022_2073_本科批,108_5052,108,5052,福建,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,5250,,首选物理，再选不限
plan_108_89957_35_2022_2073_本科批,108_89957,108,89957,福建,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,2,四年,5250,,首选物理，再选不限
plan_108_89972_35_2022_2073_本科批,108_89972,108,89972,福建,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,2,四年,5550,,首选物理，再选不限
plan_108_4996_35_2022_2073_本科批,108_4996,108,4996,福建,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,5,四年,5550,,首选物理，再选不限
plan_108_5006_35_2022_2073_本科批,108_5006,108,5006,福建,2022,水产养殖学,本科 (1),农学 (11),水产类 (99),普通类,本科批,物理类,4,四年,4350,,首选物理，再选化学、生物(2科必选)
plan_108_5026_35_2022_2073_本科批,108_5026,108,5026,福建,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,3,四年,5250,,首选物理，再选不限
plan_108_5061_35_2022_2073_本科批,108_5061,108,5061,福建,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科批,物理类,3,四年,5250,,首选物理，再选不限
plan_108_5027_35_2022_2073_本科批,108_5027,108,5027,福建,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,2,四年,5550,,首选物理，再选化学、生物(2科必选)
plan_108_5042_35_2022_2073_本科批,108_5042,108,5042,福建,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,2,四年,5550,,首选物理，再选不限
plan_108_5052_35_2022_2073_本科批,108_5052,108,5052,福建,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,2,四年,5250,,首选物理，再选不限
plan_108_89957_35_2022_2073_本科批,108_89957,108,89957,福建,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,2,四年,5250,,首选物理，再选不限
plan_108_89972_35_2022_2073_本科批,108_89972,108,89972,福建,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科批,物理类,2,四年,5550,,首选物理，再选不限
plan_108_5006_35_2022_2073_本科批,108_5006,108,5006,福建,2022,水产养殖学,本科 (1),农学 (11),水产类 (99),普通类,本科批,物理类,4,四年,4350,,首选物理，再选化学、生物(2科必选)
plan_108_5027_35_2022_2073_本科批,108_5027,108,5027,福建,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,2,四年,5550,,首选物理，再选化学、生物(2科必选)
plan_108_5009_36_2022_2_本科一批,108_5009,108,5009,江西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,文科,42,-,4950,,
plan_108_5077_36_2022_2_本科一批,108_5077,108,5077,江西,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批,文科,28,-,4950,,
plan_108_4978_36_2022_2_本科一批,108_4978,108,4978,江西,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科一批,文科,25,-,4650,,
plan_108_5019_36_2022_2_本科一批,108_5019,108,5019,江西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,19,-,4950,,
plan_108_5020_36_2022_2_本科一批,108_5020,108,5020,江西,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,18,-,4950,,
plan_108_1861804_36_2022_2_本科一批,108_1861804,108,1861804,江西,2022,社会学,本科 (1),法学 (5),社会学类 (41),普通类,本科一批,文科,16,-,4950,,
plan_108_5025_36_2022_2_本科一批,108_5025,108,5025,江西,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批,文科,15,-,4650,,
plan_108_5076_36_2022_2_本科一批,108_5076,108,5076,江西,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批,文科,15,-,4950,,
plan_108_89976_36_2022_2_本科一批,108_89976,108,89976,江西,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科一批,文科,14,-,4950,,
plan_108_5018_36_2022_2_本科一批,108_5018,108,5018,江西,2022,档案学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科一批,文科,10,-,4650,,
plan_108_5019_36_2022_2_本科一批,108_5019,108,5019,江西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,10,-,4950,（英日）,
plan_108_5022_36_2022_2_本科一批,108_5022,108,5022,江西,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,10,-,4950,,
plan_108_5023_36_2022_2_本科一批,108_5023,108,5023,江西,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,10,-,4950,,
plan_108_5011_36_2022_2_本科一批,108_5011,108,5011,江西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,文科,9,-,4950,,
plan_108_5047_36_2022_2_本科一批,108_5047,108,5047,江西,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,9,-,4950,,
plan_108_5011_36_2022_2_本科一批,108_5011,108,5011,江西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,文科,8,-,14000,（国际会计师）,
plan_108_5009_36_2022_2_本科一批,108_5009,108,5009,江西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,文科,6,-,14000,（中法实验班）,
plan_108_5019_36_2022_2_本科一批,108_5019,108,5019,江西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,5,-,4950,（英西）,
plan_108_5027_36_2022_1_本科一批,108_5027,108,5027,江西,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,69,-,5550,,
plan_108_5052_36_2022_1_本科一批,108_5052,108,5052,江西,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,62,-,5250,,
plan_108_5026_36_2022_1_本科一批,108_5026,108,5026,江西,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,58,-,5250,,
plan_108_5061_36_2022_1_本科一批,108_5061,108,5061,江西,2022,测控技术与仪器,本科 (1),工学 (10),仪器类 (65),普通类,本科一批,理科,49,-,5250,,
plan_108_4996_36_2022_1_本科一批,108_4996,108,4996,江西,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科一批,理科,48,-,5550,,
plan_108_5042_36_2022_1_本科一批,108_5042,108,5042,江西,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,35,-,5550,,
plan_108_5076_36_2022_1_本科一批,108_5076,108,5076,江西,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批,理科,35,-,4950,,
plan_108_5063_36_2022_1_本科一批,108_5063,108,5063,江西,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批,理科,33,-,5250,,
plan_108_4993_36_2022_1_本科一批,108_4993,108,4993,江西,2022,水利水电工程,本科 (1),工学 (10),水利类 (73),普通类,本科一批,理科,32,-,5250,,
plan_108_5006_36_2022_1_本科一批,108_5006,108,5006,江西,2022,水产养殖学,本科 (1),农学 (11),水产类 (99),普通类,本科一批,理科,32,-,4350,,
plan_108_5054_36_2022_1_本科一批,108_5054,108,5054,江西,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批,理科,31,-,5250,,
plan_108_89957_36_2022_1_本科一批,108_89957,108,89957,江西,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批,理科,29,-,5250,,
plan_108_5003_36_2022_1_本科一批,108_5003,108,5003,江西,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批,理科,28,-,5250,,
plan_108_5077_36_2022_1_本科一批,108_5077,108,5077,江西,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批,理科,27,-,4950,,
plan_108_5040_36_2022_1_本科一批,108_5040,108,5040,江西,2022,工业工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科一批,理科,26,-,4950,,
plan_108_5056_36_2022_1_本科一批,108_5056,108,5056,江西,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,23,-,5250,,
plan_108_89979_36_2022_1_本科一批,108_89979,108,89979,江西,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批,理科,21,-,5550,,
plan_108_4984_36_2022_1_本科一批,108_4984,108,4984,江西,2022,医学检验技术,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批,理科,17,-,5550,,
plan_108_5021_36_2022_1_本科一批,108_5021,108,5021,江西,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,17,-,5250,,
plan_108_5011_36_2022_1_本科一批,108_5011,108,5011,江西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,理科,16,-,4000,（国际会计师）,
plan_108_1499499_36_2022_1_本科一批,108_1499499,108,1499499,江西,2022,智能制造工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,16,-,5250,,
plan_108_89972_36_2022_1_本科一批,108_89972,108,89972,江西,2022,工程力学,本科 (1),工学 (10),力学类 (63),普通类,本科一批,理科,15,-,5550,,
plan_108_1130325_36_2022_1_本科一批,108_1130325,108,1130325,江西,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批,理科,15,五年,5550,,
plan_108_5009_36_2022_1_本科一批,108_5009,108,5009,江西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,理科,10,-,4950,,
plan_108_5011_36_2022_1_本科一批,108_5011,108,5011,江西,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,理科,10,-,4950,,
plan_108_5025_36_2022_1_本科一批,108_5025,108,5025,江西,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批,理科,8,-,4650,,
plan_108_5019_36_2022_1_本科一批,108_5019,108,5019,江西,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,理科,5,-,4950,,
plan_108_5022_36_2022_1_本科一批,108_5022,108,5022,江西,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,理科,5,-,4950,,
plan_108_89976_36_2022_1_本科一批,108_89976,108,89976,江西,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科一批,理科,5,-,4950,,
plan_108_5020_36_2022_1_本科一批,108_5020,108,5020,江西,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,理科,3,-,4950,,
plan_108_5023_36_2022_1_本科一批,108_5023,108,5023,江西,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,理科,3,-,4950,,
plan_108_5047_36_2022_1_本科一批,108_5047,108,5047,江西,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,理科,3,-,4950,,
plan_108_5009_36_2022_1_本科一批,108_5009,108,5009,江西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批,理科,2,-,14000,（中法实验班）,
plan_108_4988_37_2022_3_普通类一段,108_4988,108,4988,山东,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,普通类一段,综合,6,四年,5550,,
plan_108_5027_37_2022_3_普通类一段,108_5027,108,5027,山东,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,普通类一段,综合,6,四年,5550,,
plan_108_5052_37_2022_3_普通类一段,108_5052,108,5052,山东,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,普通类一段,综合,5,四年,5250,,
plan_108_5077_37_2022_3_普通类一段,108_5077,108,5077,山东,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,普通类一段,综合,5,四年,4950,,
plan_108_5009_37_2022_3_普通类一段,108_5009,108,5009,山东,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,普通类一段,综合,4,四年,4950,,
plan_108_5063_37_2022_3_普通类一段,108_5063,108,5063,山东,2022,生态学,本科 (1),理学 (9),生物科学类 (60),普通类,普通类一段,综合,4,四年,5250,,
plan_108_4996_37_2022_3_普通类一段,108_4996,108,4996,山东,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,普通类一段,综合,3,四年,5550,,
plan_108_5006_37_2022_3_普通类一段,108_5006,108,5006,山东,2022,水产养殖学,本科 (1),农学 (11),水产类 (99),普通类,普通类一段,综合,3,四年,4350,,
plan_108_5022_37_2022_3_普通类一段,108_5022,108,5022,山东,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,普通类一段,综合,3,四年,4950,,
plan_108_5025_37_2022_3_普通类一段,108_5025,108,5025,山东,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,普通类一段,综合,3,四年,4650,,
plan_108_5042_37_2022_3_普通类一段,108_5042,108,5042,山东,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,普通类一段,综合,3,四年,5550,,
plan_108_5056_37_2022_3_普通类一段,108_5056,108,5056,山东,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,普通类一段,综合,3,四年,5250,,
plan_108_1130325_37_2022_3_普通类一段,108_1130325,108,1130325,山东,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,普通类一段,综合,3,四年,5550,,
plan_108_5003_37_2022_3_普通类一段,108_5003,108,5003,山东,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,普通类一段,综合,2,四年,5250,,
plan_108_5020_37_2022_3_普通类一段,108_5020,108,5020,山东,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,普通类一段,综合,2,四年,4950,,
plan_108_5026_37_2022_3_普通类一段,108_5026,108,5026,山东,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,普通类一段,综合,2,四年,5250,,
plan_108_5047_37_2022_3_普通类一段,108_5047,108,5047,山东,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,普通类一段,综合,2,四年,4950,,
plan_108_5009_43_2022_2074_本科批,108_5009,108,5009,湖南,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,6,四年,4950,,首选历史，再选不限
plan_108_5019_43_2022_2074_本科批,108_5019,108,5019,湖南,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,4,四年,4950,,首选历史，再选不限
plan_108_4978_43_2022_2074_本科批,108_4978,108,4978,湖南,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,2,四年,4650,,首选历史，再选不限
plan_108_89976_43_2022_2074_本科批,108_89976,108,89976,湖南,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,历史类,2,四年,4950,,首选历史，再选不限
plan_108_4988_43_2022_2074_本科批,108_4988,108,4988,湖南,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,历史类,8,四年,5550,,首选历史，再选不限
plan_108_5009_43_2022_2074_本科批,108_5009,108,5009,湖南,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,6,四年,4950,,首选历史，再选不限
plan_108_5019_43_2022_2074_本科批,108_5019,108,5019,湖南,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,4,四年,4950,,首选历史，再选不限
plan_108_4978_43_2022_2074_本科批,108_4978,108,4978,湖南,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,2,四年,4650,,首选历史，再选不限
plan_108_89976_43_2022_2074_本科批,108_89976,108,89976,湖南,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,历史类,2,四年,4950,,首选历史，再选不限
plan_108_4988_43_2022_2074_本科批,108_4988,108,4988,湖南,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,历史类,8,四年,5550,,首选历史，再选不限
